x,y,z
1296205.453, 960387.001, 0
1296158.56899962, 960551.898954598, 0
1296133.78571517, 960638.419263366, 0
1295733.51210028, 961709.037921126, 0
1295695.45576406, 961790.595816458, 0
1295602.64713293, 961988.477532388, 0
1295545.42060934, 962093.760995843, 0
1295374.61137206, 962219.406678617, 0
1295257.06323711, 962242.68582484, 0
1295211.12821278, 962248.980414143, 0
1295093.33632435, 962271.242144058, 0
1294882.6822054, 962422.348631971, 0
1294823.83969631, 962526.790351232, 0
1294745.55754033, 962683.817256285, 0
1294432.87144882, 962805.059526594, 0
1294316.18529812, 962759.997908482, 0
1294013.2528119, 962863.516475312, 0
1293845.48849872, 963141.055706874, 0
1293788.65002249, 963246.606208397, 0
1293807.30314361, 963594.468580302, 0
1293695.96137433, 963638.904277261, 0
1293634.95458023, 963666.843158301, 0
1293525.05020434, 963714.987331496, 0
1293229.73841224, 963791.318626225, 0
1293110.27017906, 963802.46198808, 0
1293036.4971524, 963808.111117053, 0
1292856.93954389, 963820.679128612, 0
1292366.3554961, 963822.273569545, 0
1292186.71998751, 963810.872966936, 0
1291891.67288043, 963790.208060778, 0
1291651.97842914, 963779.296434824, 0
1290983.01241808, 963924.700914729, 0
1290769.47397902, 964034.1259055, 0
1290652.54758361, 964097.69691012, 0
1290439.75330328, 964208.622826628, 0
1290025.49215383, 964359.505106453, 0
1289791.20336475, 964411.415876112, 0
1288013.11215363, 964772.948848369, 0
1287895.45642825, 964796.550783216, 0
1287686.78002507, 964834.277454276, 0
1287568.30815981, 964853.365099107, 0
1287157.75215705, 964918.409732844, 0
1286921.92316466, 964962.554515364, 0
1286744.46576755, 965018.59906015, 0
1286526.05955946, 965117.910709714, 0
1285905.17099931, 965421.432230821, 0
